BLK_CD,std_ym,BLK_NM,man_flow_p,man_flow_1,man_flow_2,man_flow_3,man_flow_4,man_flow_5,wman_flow_,wman_flo_1,wman_flo_2,wman_flo_3,wman_flo_4,wman_flo_5,OBJECTID,BLK_NM_1,X_AXIS,Y_AXIS,XMIN,YMIN,XMAX,YMAX,ADMI_CD,OA_CD,BAS_ID,SHAPE,SE_ANNO_CA,SHAPE_WKT,ADMI_CD_2,광역시,시군구,행정동,법정동,X,Y,관광지명,주소
32646,19900101,,,,,,,,,,,,,,2870,경기포천 한화리조트산정호수,339484,608021,338515,606106,340793,610152,41650390,3127040000000.00000,11103,oracle.sql.STRUCT@545098ba,(BLOB),"POLYGON ((339690.5625 610151.25, 339676.75 610115.9375, 339658.6875 610099.0625, 339434.4375 610114.625, 339332.25 610106.4375, 339250.4375 610080.9375, 339154.3125 610023.8125, 339095.1563 610009.6875, 339019.125 610016.6875, 338878.4375 610074.875, 338",4165,경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
32684,20170601,경기포천 허브밸리캠핑장,1250.48000,6926.76000,5075.98000,5220.49000,5872.32000,4581.96000,1493.44000,2446.20000,4208.88000,3681.37000,5341.20000,4108.32000,2874,경기포천 32684블록,337958,608253,336535,606369,339010,610139,41650390,3127040000000.00000,11104,oracle.sql.STRUCT@351410c1,(BLOB),"POLYGON ((337907.0313 610138.9375, 337901.375 610115.1875, 337889.7813 610102.4375, 337729.9688 610006.9375, 337688.125 609973.0625, 337499.5313 609727.8125, 337481.4063 609714.125, 337453.5625 609650.5625, 337434.375 609625.1875, 337286.7188 609501.9375",4165,경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
32684,20170801,경기포천 허브밸리캠핑장,1482.25000,7474.32000,5405.53000,5659.28000,6419.28000,5248.80000,1751.10000,2618.64000,4563.26000,4088.26000,5892.36000,4588.44000,2874,경기포천 32684블록,337958,608253,336535,606369,339010,610139,41650390,3127040000000.00000,11104,oracle.sql.STRUCT@351410c1,(BLOB),"POLYGON ((337907.0313 610138.9375, 337901.375 610115.1875, 337889.7813 610102.4375, 337729.9688 610006.9375, 337688.125 609973.0625, 337499.5313 609727.8125, 337481.4063 609714.125, 337453.5625 609650.5625, 337434.375 609625.1875, 337286.7188 609501.9375",4165,경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
32684,20170801,경기포천 허브밸리캠핑장,1482.25000,7474.32000,5405.53000,5659.28000,6419.28000,5248.80000,1751.10000,2618.64000,4563.26000,4088.26000,5892.36000,4588.44000,2874,경기포천 32684블록,337958,608253,336535,606369,339010,610139,41650390,3127040000000.00000,11104,oracle.sql.STRUCT@351410c1,(BLOB),"POLYGON ((337907.0313 610138.9375, 337901.375 610115.1875, 337889.7813 610102.4375, 337729.9688 610006.9375, 337688.125 609973.0625, 337499.5313 609727.8125, 337481.4063 609714.125, 337453.5625 609650.5625, 337434.375 609625.1875, 337286.7188 609501.9375",4165,경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
5049,20170701,경기포천 산정캠프,246.18000,1195.32000,1595.62000,2029.17000,2869.08000,1595.52000,261.30000,711.60000,1207.31000,1380.17000,1988.88000,1330.20000,3342,경기포천 평강식물원,340482,605285,337497,603128,343230,606929,41650390,3127040000000.00000,11103,oracle.sql.STRUCT@2f966aab,(BLOB),"POLYGON ((338787.1875 606372.5, 338768.5313 606369.5625, 338471.0938 606485.1875, 338344.7188 606503.625, 338137.8438 606617.625, 338082.125 606635.25, 338037.75 606625.625, 337890.4375 606563.6875, 337915.875 606479.8125, 337956.9063 606404.5, 337999.71",4165,경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
5049,20170701,경기포천 산정캠프,246.18000,1195.32000,1595.62000,2029.17000,2869.08000,1595.52000,261.30000,711.60000,1207.31000,1380.17000,1988.88000,1330.20000,3342,경기포천 평강식물원,340482,605285,337497,603128,343230,606929,41650390,3127040000000.00000,11103,oracle.sql.STRUCT@2f966aab,(BLOB),"POLYGON ((338787.1875 606372.5, 338768.5313 606369.5625, 338471.0938 606485.1875, 338344.7188 606503.625, 338137.8438 606617.625, 338082.125 606635.25, 338037.75 606625.625, 337890.4375 606563.6875, 337915.875 606479.8125, 337956.9063 606404.5, 337999.71",4165,경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
300355,19900101,,,,,,,,,,,,,,2717,경기포천 자인사,340860,609131,339690,607266,342071,611051,41650390,3127040000000.00000,11103,oracle.sql.STRUCT@15f38bd8,(BLOB),"POLYGON ((340284.875 611050.625, 340181.6875 611026.875, 340151.2188 611007.0, 340067.8125 610977.625, 339959.125 610908.9375, 339836.2188 610632.75, 339809.75 610419.1875, 339756.6563 610320.4375, 339690.5625 610151.25, 339898.0 609818.4375, 339913.2188",4165,경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
30107,20180801,경기포천 모아글램핑,328.13000,1932.24000,1971.19000,2262.70000,2768.28000,2861.76000,388.18000,558.72000,983.45000,1015.74000,1354.20000,1263.72000,3148,경기포천 30107블록,346948,607086,345957,606427,347677,607904,41650380,3127040000000.00000,11110,oracle.sql.STRUCT@71b026aa,(BLOB),"POLYGON ((345957.125 607086.4375, 346014.2813 606987.5, 346113.9688 606909.875, 346284.6875 606696.875, 346316.875 606672.4375, 346374.4688 606545.5, 346423.375 606637.0, 346536.2813 606757.25, 346570.9688 606815.125, 346633.6875 606786.875, 346699.9063",4165,경기도,포천시,이동면,이동면 도평리,347644,608332,백운계곡,경기 포천시 이동면 도평리
30107,20180601,경기포천 모아글램핑,225.61000,2112.12000,2056.86000,2515.59000,2773.68000,3137.76000,310.57000,443.04000,831.22000,934.12000,1320.24000,1440.12000,3148,경기포천 30107블록,346948,607086,345957,606427,347677,607904,41650380,3127040000000.00000,11110,oracle.sql.STRUCT@71b026aa,(BLOB),"POLYGON ((345957.125 607086.4375, 346014.2813 606987.5, 346113.9688 606909.875, 346284.6875 606696.875, 346316.875 606672.4375, 346374.4688 606545.5, 346423.375 606637.0, 346536.2813 606757.25, 346570.9688 606815.125, 346633.6875 606786.875, 346699.9063",4165,경기도,포천시,이동면,이동면 도평리,347644,608332,백운계곡,경기 포천시 이동면 도평리
5367,20170801,경기포천 등룡폭포,439.23000,1538.52000,2189.59000,2426.71000,3138.36000,1776.72000,433.94000,1075.08000,1906.97000,2232.78000,3011.04000,1686.12000,2956,경기포천 산정리조트눈썰매장,342278,607792,340475,605809,343594,609559,41650390,3127040000000.00000,11103,oracle.sql.STRUCT@20f60ad5,(BLOB),"POLYGON ((342058.6875 609459.125, 342029.9688 609303.125, 342017.1875 609132.8125, 341914.6563 608549.125, 341880.8125 608247.9375, 341839.3125 608074.8125, 341798.9688 607983.5, 341588.25 607708.25, 341536.6875 607590.75, 341442.0 607532.6875, 341363.93",4165,경기도,포천시,영북면,영북면 산정리,340717,607561,산정호수,경기 포천시 영북면 산정호수로411번길 89
