"순번","민원제목","민원내용","민원등록일","민원수정일","민원답변일","처리부서","진행상태","민원인주소_법정동"
"1","익산-금마간 도로","익산-금마간 도로 차선상태가 불량하여 운행에 불편이 많이 발생됩니다.  도로가 노후 되어 차선이 희미해짐에 따라그로인해 사고의 우려도 심려 됩니다. 구간별로 전에 사용했던 차선과 현재사용하는 차선이 복선으로 인식되어 운전자게 혼란을 주는 경우도 있습니다.  야간 우천시 차선 도료가 반사되어 운전자에게 도움을 주어야 하나 제 역할을 하지 못해 운행에 어려움이 사료되 바 보수, 개선을 바랍니다.구간:  구 금마건문소 사거리-부송동 구간, 길자동차 왕복4차선 구간 ","2016-08-31","2016-08-31","2016-09-05","도시재생과","처리완료","화곡로"
"2","익산시 전기차 충전소","환경친화적 자동차의 개발 및 보급 촉진에 관한 법률 시행령[대통령령 제 29173호]  2018.30공포,9.21시행전기차 충전소 일반 내연차량 주자치 과태료 부과에 관한 법률인데요 9월 21일 부터 시행이라 되있는데 저희 익산시는 언제부터 시행하나요?모현동 이편한세상에 급속2대 완속1대가 설치되어 있는데. 전기차를 구매 한지 1달이 다 되어 가지만 일반 내연차 들땜에 충전을 한번도 해본적이 없습니다. 물론 아직 전기차가 보급이 많이 없는 편으로 이해하고 외부 충전기를 이용중입니다.과태료 관련 공문이라도 공고가 된다면 충전기 이용이 수월 할거같아 문의드립니다. ","2018-09-21","2018-09-21","","","처리중","잠실6동"
"3","수도산공원  방역","수도산 공원내 날씨가 따뜻해지니 벌레들이 많아졌습니다 방역을 부탁드려요","2017-04-25","2017-04-25","2017-04-26","도로공원과","처리완료","잠실6동"
"4","서동콜은 현금만 받나봐요.....","안녕하세요. 익산시에 거주중인 20대 여성입니다.오늘( 2월 13일, 월요일) 아침에 익산역에 가려고 이마트 앞에서 택시를 탔습니다. 그 후 익산역에 도착하여 현금이 없어 카드를 드렸더니 기사분께서 """"현금없어요? 현금 내세요.""""라고 하시기에 현금이 없어서 카드를 드린거다라고 말씀을 드럈더니 """"아침에 택시탈때는 현금을 앞으로는 가지고 타세요. 카드내면 우리는 수수료도 내야되고, 돈도 더 늦게 들어오는데...""""등의 말씀을 하시며 결제를 늦게 하셔서 미리 예매해둔 기차를 놓칠뻔했습니다.다른 지역에서 택시를 여러번 타봤지만 단한번도 이런일이 없었는데... 왜 매번 익산에서 서동콜택시를 탈때마다 현금을 안낸다고 혼이 나야할까요? 너무 불쾌하고, 월요일 아침부터 너무 기분이 좋지않네요....앞으로 이런일이 없도록 주의응 주샸으면 합니다.","2017-02-13","2017-02-13","2017-02-16","교통행정과","처리완료","잠실6동"
"5","가로등 미점등",": 전라북도 부안군 동진면 안성리 1031-2가로등 미점등-------------------------------------------------------------------------------------------------------------------------○ .","2018-03-20","","2018-03-22","동진면","처리완료","잠실6동"
"6","학교급식지원센터(우리영농조합법인)에 대한 통보","시장님! 국립농산물품질관리원전북지원이 학교급식지원센터(우리영농조합법인)와 관련된 내용을 통보해 왔습니다.","2016-07-20","2016-07-20","","어린이행복과","처리중","개포로"
"7","낙엽에 관하여 민원접수 합니다.","안녕하세요. 민원접수를 위하여 글을 쓰게 되었습니다.먼저 제가 다니고 있는 직장은 `익산시 오산면 장항길 22번지`에 있는 `기선전력`이란 회사입니다. 매년 겨울이 다가오는 이맘때가 되면 회사옆에 있는 백제고등학교 심어져 있는 침엽수 때문에 불편사항이 있어 접수하게 되었습니다. 다름이 아니라 침엽수가 겨울에 들어서면서 많은 양의 낙엽이 떨어지게 되어 매번 골란한 상황이 생기게 되어 회사내 주차장을 청소를 해도 자꾸 쌓여가는 낙엽 잎 때문에 불편함이 있어 접수하게 되었습니다. 겨울만 다가오면 길이 너무 지저분 해지게 되고 주차장 내에 있는 자동차에 낙엽 잎이 쌓이게 되어 불편이 많습니다.이부분 조치를 취해 주셨으면 좋겠습니다.따로 사진은 첨부하도록 하겠습니다. 빠른 조치 부탁드립니다.  감사합니다.","2017-11-11","2017-11-11","2017-11-14","시정에바란다","처리완료","광평로47길"
"8","정규직 전환건","도서관 정규직 전환 공고를 보고 납깁니다. 혹 저혼자만의 생각일까 싶어 전에 근무하던 사람들과 통화를 해보았는데 모두 한결 같은 의견이었습니다. 한 달을 남겨 둔 시점에서 시험으로만 뽑는다는 발상은 누구의 머리에서 나온 것인지요? 경험과 경력은 무시되고 오로지 머리순으로 줄을 세우겠다는 건가요? 젊은 사람들에게 유리할 뿐더러 이것은 제대로 된 방식도 아닙니다. 한 달 안에 문헌정보학과에서 학기에 걸쳐 배우는 과목을 한 달 안에 준비하라는 것은 공부도 아닙니다. 암기인가요? 그리고 그 시험문제가 유출이 되지 않으리라는 보장이 어디 있나요? 너무나 졸속입니다. 한 달 남겨 둔 시점에 시험으로 치룬다는 발상도 그것도 사서직 공무원이 보는 과목이 들어 있는 것도 이해가 가지 않습니다. 분명 문제가 있는 방식이라 항의드리며 그에 대한 답변도 듣고 싶습니다.","2018-04-12","2018-04-12","2018-04-17","총무과","처리완료","삼성로76길"
"9","배산 산책로 가로등"," 배산 산책로에 설치된 가로등증 관리번호 174, 179, 180의 가로등이 새벽시간대에 다른 가로등은 작동되는데, 작동되지 않습니다.고장? 인것 같습니다.수리 해 주시길 바랍니다. ","2016-03-02","2016-03-02","2016-03-02","산림공원과","처리완료","삼성로76길"
"10","도로 포트홀 보수 요청","군산시 회현면 고사리 산10-2도와 산23-4도 사이의 굽어진 도로에 몇 군데 포트홀이 있음. 작년에 관계 부서에서 임시 보수를 하였으나, 겨울을 나면서 다시 파손된 것임. 포트홀을 피하려다가 진행하는 차량 간의 위험상황이 자주 발생하고 있으므로 빠른 시일내 보수를 요함","2017-04-06","2017-04-06","","건설과","처리중","영동대로"
"11","팔봉동 부송동 냄새!!!!!!!ㅣㅣㅣ!!!","밤만되면 2공단에서 악취때문에 문을 열고 살수가 없어요맨날 개선 한다고 말만하고 달라지는건 하나도 없내요부송동 팔봉동 주변은 밤만되면 냄새때문에 스트레스 너무심해요 제발 숨좀 편히 쉬고 삽시다","2017-05-17","2017-05-17","2017-05-18","녹색환경과","처리완료","영동대로"
"12","[안전신고] (SPP-1604-1118130)도로 가운데 경계선이 부너졌습니다. 고쳐주세요~","전라북도 부안군 부안읍 봉덕리 866도로 가운데 경계선이 부너졌습니다. 고쳐주세요~","2016-04-25","","2016-05-03","건설교통과","처리완료","영동대로"
"13","(SPP-1710-1900681)가로등 점멸 * 첨부파일촬영시간 안내(안전신문고 운영","전라북도 부안군 백산면 평교리 1028-6가로등 점멸*  *(1/1) C: 2017/10/19 19:40:57G:*","2017-10-19","","2017-10-25","백산면","처리완료","영동대로"
"14","지하수 말고 상수도 쓰고싶어요","안녕하세요 익산시 영등동 291-16번지에 5년이상 거주중입니다.처음 이사오면서 지하수로 생활을 하였는데 당시에는 결혼초기라 둘이 생활했기에물이 적게 나와도 별로 불편함을 모르고지냈습니다. 지금은 슬하에 아이 둘을 키우며 살고있는데너무 걱정이됩니다. 아이들 지하수물로 목욕해서 피부병이 생기는 기분이고 다른아이들과 다르게건강적인 면에서도 기분상 병원에 매일 드나든다는 생각이 드네요옛적 상수도가 보급화 되기전 다들 지하수로 생활하셨는데 수도 자체의 역활중 하나가 장티푸스, 콜레라이질등의 소화기계 전염병들과 풍토병, 눈병, 더나아가 유아사망 등의 발생을 줄이기위해 상수도를 전국으로보급했다고 하는데 전국 상수도 관이 깔린곳이 99%라고 합니다. 그럼 익산의 중심지라 할수있는 이곳 영등동이 상수도가 깔리지않은 1%라는게 말이 되나요? 시민이 행복한 품격 도시 라고 광고만 하면 행복한 익산이 되나요?보이는곳만 고치지말고 안좋은곳도 고쳐가며 제가 살았던30년보다 우리 아이들이 살기좋은 30년을 마련해주셨으면 좋겠습니다.","2016-12-28","2016-12-28","2016-12-30","상수도과","처리완료","테헤란로10길"
"15","(SPP-1802-2800299)가로등 불이 안들어옴 * 첨부파일촬영시간 안내(안전신","전라북도 부안군 보안면 영전리 390-2가로등 불이 안들어옴*  *(1/1) G: 2018/02/28 11:05:26G:  *","2018-02-28","","2018-03-07","보안면","처리완료","고덕로62길"
"16","아동수당에대해서","아동수당이 왜 타지역하고 다르게 늦는거죠 타지역은 이미 적합 부적합 결과가 나와서 25일 10만원지급한다는 문자가 왔고 또한 동사무소에서 신청한분들은 금방 결과가 나왔다는데 복지로에서 신청한사람들은 너무 늦는결과가 나온걸보면 온라인보다 오프라인이 더 먼저 처리가 되는구나 알겠습니다 아니면 익산이 일처리를 안하는건가요??","2018-08-17","2018-08-17","2018-08-21","복지청소년과","처리완료","성안로25길"
"17","임실 치즈축제 때의 일","임실은 치즈로 유명하다고 합니다그래서 이번 치즈축제 때 아이들을 데리고 지인들과 함께 행사 구경을 갔는데...너무 황당한 일을 보게 되었습니다행사장에서 임실군청 직원인 듯한 사람이 어떤 사람으로부터 의자에 맞아 피를 흘리는 모습을 보았습니다 입 주변에서는 피를 흘리고 있었는데 가해자는 또 다시 의자를 들어 넘어진 사람을 가격하려고 하였습니다아마 주변사람들이 말려서 다행이지 말리지 않았다면 정말 큰 일이 일어났을 것입니다지역적으로 이렇게 큰 행사가 있으면 안전문제에도 크게 신경을 써야 당연한 것 같은데 그러한 부분에서 많이 안타깝습니다 그리고 그자리에 있던 사람으로서 말리지 못하고 보고만 있었다는 제 자신이 너무 부끄럽습니다 의자에 맞아 다친 사람에게 용서를 빌고 싶은게 제 심정입니다 그 때 다치신분은 괞찬으신지요? 많이 다치진 않았는지요? 아무일 없어야 될 텐데... 어떻게 되었는지 매우 궁금합니다 그리고 그분의 연락처를 알 수 있다면 좀 알고싶습니다 알려주시면 감사하겠습니다아무쪼록 날로 발전하고 살기좋은 넉넉한 임실이 되기를 소망합니다","2017-10-12","","","군수실","처리완료","솔매로40길"
"18","주소전입시 전입장학금","장학금 10월초에 입금된다고 했는데 아직도 입금안됬습니다..확인부탁드리고 빨리 입금해주세요!!","2017-11-17","2017-11-17","2017-12-28","기획예산과","처리완료","오패산로"
"19","(SPP-1703-2801076)가로등 소등 번호 오리정로 046","전라북도 부안군 부안읍 봉덕리 799-3가로등 소등 번호 오리정로 046","2017-03-28","","2017-03-31","부안읍","처리완료","곰달래로31가길"
"20","부영2차 상가 불법개조 및 불법가설물과 적치물","제가 이렇게 민원을 제기하는 것은 요즘, 우리나라에서 일어나는 안전불감증에 대해 저의 아이가 생활하는 아파트의 상가에서도 일어날 수 있는 상태여서 시정을 요구합니다. 저희 아이는 어양동 부영2차 상가에 있는 학원에서 미래를 준비하는데, 1층에 여러가지 위험요소 (불법 개조 및 불법가설물과 적치물)들이 많아 불안합니다. 상가의 비상구 출입구는 문을 만들고 상가1층 중앙에는 여러 가지 물건을 쌓아놓아 비상시 아이들이 한번에 이동시 방해를 받아 위험에 처할것 같습니다. 또한 뒤쪽에는 불법가설물을 확장 설치하여 미간을 찌뿌리게 하는등 여거가지 불법개조 및 불법가설물과 적치물로 인하여 개인의 이익만 생각하는 형태에 대해서 시정조치와 원상복귀가 되어 위험에서 안전하고 깨끗한 환경에서 생활할수 있독록 조치하여 주시길 바라겠습니다.바쁘시겠지만, 시민을 위해서 제가 제기한 불법에 대해서 담당자님의 책임있는 조치를 바라며 지켜보겠습니다. 새해 복 많이 받으세요","2018-01-04","2018-01-04","2018-01-05","주택과","처리완료","등촌로39바길"
